Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”
Hampton,"1,728","7,411","1,088","1,659","1,061","2,454",16,"42,597","87,235",644,"1,161","1,528","3,468",63,"152,114"
Poquoson,97,308,55,92,54,153,0,"3,941","5,210","3,382",309,420,"1,735",25,"15,781"
Williamsburg,1,4,1,2,0,3,0,396,52,2,"6,630","3,487","1,810",9,"12,396"
James City,7,21,4,11,1,23,0,"2,608",334,12,"15,614","40,411","7,986",40,"67,071"
York,178,631,115,213,97,367,1,"21,427","11,424",944,"9,209","9,702","25,113",978,"80,401"
Gloucester,0,0,0,0,0,1,0,188,37,2,87,101,199,"21,471","22,087"
Total,"270,794","364,429","93,944","90,226","452,144","40,747","24,182","231,671","145,845","5,699","43,012","70,312","58,625","23,498","1,915,128"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Other,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"307,335","46,966","59,176","17,823","98,445","5,193","1,538","9,190","8,181",209,"1,582","1,014","1,661",0,"558,312"
Norfolk,"20,723","338,345","10,707","2,975","90,095","1,471","1,037","5,456","7,065",169,702,598,"1,138",1,"480,481"
Portsmouth,"29,215","9,686","119,902","8,565","8,582","1,918",287,"3,426","3,003",62,378,297,537,0,"185,859"
Suffolk,"8,198","2,196","7,370","53,302","3,887","4,097",118,"3,118","2,468",69,460,273,551,14,"86,121"
Virginia Beach,"54,471","94,066","9,844","5,882","839,265","2,709","22,566","6,582","7,391",206,"1,493",910,"1,550",0,"1,046,937"
Isle of Wight,"1,520",988,"1,222","3,348","1,611","72,684",52,"4,637","3,732",85,532,339,681,42,"91,474"
Va Bch Waterfront,360,667,171,92,"13,754",46,"6,486",100,163,3,33,14,29,0,"21,917"
Newport News,"2,438","3,234","2,042","2,448","3,874","4,374",122,"487,205","93,645","1,963","10,480","6,141","34,322","1,063","653,352"
Hampton,"1,476","2,761","1,192","1,264","3,043","2,157",114,"62,755","254,500","1,578","2,099","1,308","9,422",423,"344,090"
Poquoson,330,507,202,308,655,442,15,"11,075","13,366","16,225",710,533,"6,840",147,"51,354"
Williamsburg,32,33,18,26,69,34,3,783,229,9,"17,878","3,660","3,311",26,"26,111"
James City,610,920,461,529,"1,213",719,23,"11,795","4,514",210,"53,767","115,422","18,629",559,"209,370"
York,527,808,393,519,"1,037",746,35,"39,016","18,621","1,903","15,010","6,647","62,895",388,"148,545"
Gloucester,81,139,68,73,153,93,2,"1,185",612,32,409,254,517,"34,977","38,595"
Total,"427,317","501,316","212,768","97,154","1,065,684","96,683","32,397","646,322","417,489","22,724","105,533","137,409","142,082","37,639","3,942,517"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Non Home-Based,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"109,821","19,658","19,050","5,610","34,043","1,314",345,"2,268","1,329",123,195,566,561,129,"195,011"
Norfolk,"19,420","197,663","8,541","1,533","57,369",754,603,"1,840","2,196",81,333,885,625,159,"292,003"
Portsmouth,"19,152","8,681","53,388","4,222","5,484",842,94,"1,084",744,30,143,357,260,61,"94,541"
Suffolk,"5,822","1,618","4,294","22,093","2,087","2,165",43,"1,307",877,39,102,375,258,71,"41,151"
Virginia Beach,"33,632","57,210","5,363","1,964","362,732","1,497","8,346","3,686","2,190",215,231,798,964,226,"479,055"
Isle of Wight,"1,423",836,901,"2,247","1,662","32,120",61,"2,609","1,754",67,106,453,396,98,"44,733"
Va Bch Waterfront,342,603,92,40,"8,337",55,"2,288",112,110,6,8,16,19,7,"12,034"
Newport News,"2,479","2,043","1,183","1,364","4,071","2,562",118,"175,643","37,393","1,790","2,276","5,985","16,032",610,"253,549"
Hampton,"1,409","2,328",779,908,"2,367","1,763",124,"37,177","110,925","1,932",528,"1,340","6,751",440,"168,770"
Poquoson,137,86,32,42,236,71,6,"1,778","1,945","2,857",51,125,"1,188",37,"8,592"
Williamsburg,223,376,160,110,262,110,9,"2,371",560,55,"14,347","11,359","4,731",99,"34,772"
James City,640,988,399,406,906,472,18,"6,175","1,417",133,"11,373","64,957","7,297",381,"95,562"
York,615,702,285,271,"1,072",400,20,"16,212","6,852","1,208","4,710","7,255","22,545",197,"62,343"
Gloucester,150,214,90,97,230,140,6,810,287,37,112,295,486,"13,366","16,319"
Total,"195,266","293,005","94,555","40,907","480,856","44,264","12,080","253,072","168,578","8,573","34,515","94,766","62,115","15,881","1,798,434"
,,,,,,,,,,,,,,,ADD-B-6
