Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Non Home-Based,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"110,736","19,270","19,578","5,717","34,151","1,339",346,"2,278","1,337",124,195,568,563,131,"196,333"
Norfolk,"19,056","201,374","5,878","1,303","57,809",798,609,"1,837","2,211",82,334,890,630,162,"292,973"
Portsmouth,"19,727","5,957","56,060","4,365","5,332",880,89,"1,108",760,32,147,363,266,63,"95,148"
Suffolk,"5,894","1,371","4,407","22,972","2,131","2,252",43,"1,340",900,41,104,382,265,74,"42,176"
Virginia Beach,"33,779","57,706","5,221","2,032","363,584","1,533","8,369","3,688","2,192",216,231,798,965,229,"480,542"
Isle of Wight,"1,429",867,928,"2,327","1,672","33,358",61,"2,661","1,758",67,102,446,389,97,"46,164"
Va Bch Waterfront,344,609,88,41,"8,361",56,"2,295",112,110,6,8,16,19,7,"12,070"
Newport News,"2,507","2,048","1,214","1,420","4,094","2,642",118,"176,223","37,536","1,799","2,278","6,000","16,086",620,"254,585"
Hampton,"1,426","2,357",799,945,"2,380","1,794",125,"37,298","111,268","1,941",528,"1,342","6,772",447,"169,419"
Poquoson,139,87,33,44,237,79,6,"1,782","1,950","2,870",51,126,"1,191",38,"8,633"
Williamsburg,226,381,165,114,264,109,9,"2,381",563,55,"14,370","11,386","4,743",101,"34,866"
James City,648,"1,003",408,422,913,476,18,"6,204","1,425",134,"11,396","65,171","7,323",388,"95,929"
York,621,713,293,283,"1,078",401,21,"16,265","6,877","1,214","4,719","7,276","22,633",200,"62,593"
Gloucester,150,215,92,100,230,141,6,807,286,37,112,294,485,"13,475","16,429"
Total,"196,682","293,958","95,163","42,084","482,236","45,857","12,114","253,984","169,171","8,616","34,576","95,058","62,329","16,031","1,807,860"
,,,,,,,,,,,,,,,H-4
