Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”
Arterial,D2,"Dominion Blvd, Cedar Rd to Bainbridge",Blvd,"36,400",2.8,"2,800",F,3.1,"3,100",F,"36,800",2.7,"2,900",F,3.0,"3,100",F
Arterial,D3,"Dominion Blvd, Bainbridge Blvd to Great Bridge Blvd","Dominion Blvd, Bainbridge Blvd to Great Bridge Blvd",,,,,,,,,,,,,,
Freeway,D4 Oak Grove Conn. (from I-64 to Battlefield Blvd),D4 Oak Grove Conn. (from I-64 to Battlefield Blvd),D4 Oak Grove Conn. (from I-64 to Battlefield Blvd),"129,100",,,,*,"11,600",F,"131,500",,,,*,"11,800",F
,E,Hampton Blvd & Brambleton Ave (5 segments),Hampton Blvd & Brambleton Ave (5 segments),,,,,,,,,,,,,,
Arterial,E1,Brambleton Ave to 21st St,,"36,700",9.9,"2,500",F,6.4,"2,800",F,"27,100",13.9,"1,900",E,13.5,"2,000",E
Arterial,E2,38th St to Little Creek Rd,,"35,800",19.0,"2,400",D,18.4,"2,800",D,"34,700",19.1,"2,300",D,18.5,"2,700",D
Arterial,E3,Little Creek Rd to proposed EW Conn.,,"32,800",20.8,"2,300",D,21.4,"2,500",D,"33,200",20.7,"2,300",D,21.4,"2,600",D
Arterial,E4,Proposed EW Conn. to Adm Taussig Blvd,Proposed EW Conn. to Adm Taussig Blvd,"34,700",17.2,"2,700",D,18.2,"2,600",D,"33,800",17.3,"2,600",D,18.3,"2,600",D
Arterial,"E5 Brambleton Ave, Colley Ave to Boush St","E5 Brambleton Ave, Colley Ave to Boush St","E5 Brambleton Ave, Colley Ave to Boush St","65,500",4.1,"5,300",F,3.5,"5,500",F,"54,800",6.6,"4,400",F,5.3,"4,600",F
,F,Downtown Tunnel Area (5 segments),,,,,,,,,,,,,,,
Freeway,F1,Downtown Tunnel (I-264 from Portsmouth to I-464),Downtown Tunnel (I-264 from Portsmouth to I-464),"111,700",,,,*,"10,000",F,"120,300",,,,*,"10,800",F
Freeway,F2,Berkley Bridge (I-264 from Waterside to I-464),Berkley Bridge (I-264 from Waterside to I-464),"124,500",,,,28.4,"11,200",D,"131,800",,,,30.1,"11,900",D
Two-Lane,F3,Jordan Bridge(Poindexter from Portsmouth to I-464),Jordan Bridge(Poindexter from Portsmouth to I-464),"12,500",,,,,,E,"15,800",,,,-,,E
Arterial,F4,"Effingham St, I-264 to South St",,"38,000",1.8,"3,800",F,1.8,"3,800",F,"35,700",2.2,"3,600",F,2.2,"3,600",F
Arterial,"F5 Frederick Blvd, I-264 to Turnpike Rd","F5 Frederick Blvd, I-264 to Turnpike Rd",,"47,400",2.5,"4,700",F,2.5,"4,700",F,"42,900",3.1,"4,300",F,3.1,"4,300",F
,,,,,,,,,,,,,,,,,G-5
