Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”
Portsmouth,"29,912","10,518","123,670","8,442","9,317","1,707",311,"3,757","3,288",68,421,332,592,0,"192,335"
Suffolk,"9,167","2,827","8,206","59,032","5,004","4,283",155,"4,004","3,164",88,607,364,719,16,"97,636"
Virginia Beach,"53,659","95,277","9,517","5,161","849,933","2,188","22,834","6,764","7,564",211,"1,552",950,"1,599",0,"1,057,209"
Isle of Wight,"1,854","1,299","1,495","3,846","2,101","80,358",72,"5,727","4,583",111,708,442,869,51,"103,514"
Va Bch Waterfront,351,672,165,81,"13,898",37,"6,553",102,166,3,34,14,29,0,"22,106"
Newport News,"2,325","3,226","1,942","2,141","3,865","3,726",122,"492,107","94,508","1,972","10,709","6,291","34,662","1,103","658,700"
Hampton,"1,417","2,763","1,136","1,111","3,048","1,845",114,"63,419","257,033","1,592","2,155","1,348","9,545",440,"346,965"
Poquoson,322,510,194,273,659,383,15,"11,289","13,585","16,458",734,553,"6,967",154,"52,096"
Williamsburg,30,32,17,22,68,28,3,775,226,9,"17,917","3,678","3,317",27,"26,147"
James City,564,898,429,451,"1,185",582,22,"11,699","4,450",207,"53,903","116,110","18,672",567,"209,739"
York,506,804,373,452,"1,033",621,35,"39,459","18,786","1,917","15,105","6,712","63,513",402,"149,718"
Gloucester,74,134,63,62,149,74,2,"1,160",597,31,406,253,507,"35,117","38,629"
Total,"437,689","510,628","218,758","101,068","1,084,929","101,654","32,958","656,042","424,288","23,065","106,730","138,800","144,032","37,877","4,018,520"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Non Home-Based,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"111,238","19,449","19,036","5,652","34,016","1,342",341,"2,307","1,337",131,199,577,575,134,"196,333"
Norfolk,"19,266","198,387","8,639","1,576","57,577",788,605,"1,845","2,201",82,333,886,627,161,"292,973"
Portsmouth,"19,121","8,765","53,832","4,275","5,522",858,96,"1,084",744,30,143,357,260,62,"95,148"
Suffolk,"5,849","1,639","4,325","22,867","2,120","2,243",43,"1,332",896,40,103,380,263,74,"42,176"
Virginia Beach,"33,665","57,426","5,422","2,040","363,755","1,534","8,373","3,691","2,195",216,231,799,966,230,"480,542"
Isle of Wight,"1,449",851,911,"2,321","1,669","33,394",61,"2,654","1,754",67,102,446,389,97,"46,164"
Va Bch Waterfront,339,605,93,41,"8,366",56,"2,293",112,110,6,8,16,19,7,"12,070"
Newport News,"2,516","2,056","1,199","1,420","4,085","2,643",118,"176,223","37,543","1,798","2,278","6,001","16,086",620,"254,585"
Hampton,"1,452","2,337",788,945,"2,375","1,794",124,"37,296","111,284","1,939",528,"1,342","6,767",446,"169,419"
Poquoson,137,87,32,44,237,79,6,"1,783","1,952","2,869",51,126,"1,192",38,"8,633"
Williamsburg,226,378,162,114,264,109,9,"2,381",563,55,"14,372","11,387","4,744",101,"34,866"
James City,661,995,404,422,912,477,18,"6,204","1,425",134,"11,396","65,169","7,324",388,"95,929"
York,637,706,288,283,"1,077",401,21,"16,260","6,878","1,213","4,720","7,277","22,631",200,"62,593"
Gloucester,153,214,90,100,229,141,6,807,286,37,112,294,485,"13,475","16,429"
Total,"196,709","293,896","95,221","42,102","482,203","45,858","12,113","253,981","169,170","8,616","34,575","95,056","62,328","16,030","1,807,860"
,,,,,,,,,,,,,,,H-5
