Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”,Name: “Table 1 of 1 on page 35 of 55”
Non Home-Based,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"109,825","19,658","19,051","5,611","34,042","1,305",345,"2,268","1,329",123,195,566,560,129,"195,007"
Norfolk,"19,422","197,656","8,541","1,534","57,369",762,604,"1,840","2,196",81,333,885,625,159,"292,005"
Portsmouth,"19,153","8,680","53,391","4,222","5,484",841,94,"1,084",744,30,143,357,260,61,"94,544"
Suffolk,"5,823","1,618","4,294","22,100","2,087","2,161",43,"1,307",877,39,102,374,258,71,"41,155"
Virginia Beach,"33,634","57,209","5,363","1,965","362,730","1,498","8,347","3,686","2,189",215,231,798,964,226,"479,056"
Isle of Wight,"1,412",845,900,"2,243","1,663","32,127",60,"2,609","1,754",67,106,453,396,98,"44,733"
Va Bch Waterfront,342,603,92,40,"8,338",54,"2,288",112,110,6,8,16,19,7,"12,034"
Newport News,"2,479","2,043","1,183","1,364","4,071","2,562",118,"175,643","37,393","1,790","2,276","5,985","16,032",610,"253,550"
Hampton,"1,409","2,328",779,908,"2,367","1,763",124,"37,177","110,925","1,932",528,"1,340","6,751",440,"168,770"
Poquoson,137,86,32,42,236,71,6,"1,778","1,945","2,857",51,125,"1,188",37,"8,592"
Williamsburg,223,376,160,110,262,110,9,"2,371",560,55,"14,347","11,359","4,731",99,"34,772"
James City,640,988,399,406,906,472,18,"6,175","1,417",133,"11,373","64,957","7,297",381,"95,562"
York,615,702,285,271,"1,072",400,20,"16,212","6,852","1,208","4,710","7,255","22,545",197,"62,343"
Gloucester,150,214,90,97,230,140,6,810,287,37,112,295,486,"13,366","16,319"
Total,"195,265","293,006","94,559","40,912","480,855","44,266","12,080","253,071","168,578","8,573","34,515","94,766","62,115","15,880","1,798,442"
,,,,,,,,,,,,,,,H-6
