Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Other,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"316,540","49,420","61,378","17,270","103,704","4,573","1,644","10,046","8,928",228,"1,744","1,123","1,823",0,"578,420"
Norfolk,"20,540","342,373","10,392","2,643","91,244","1,233","1,054","5,855","7,266",173,732,627,"1,173",1,"485,306"
Portsmouth,"30,100","10,488","123,506","8,447","9,313","1,709",311,"3,756","3,291",68,421,332,592,0,"192,335"
Suffolk,"9,181","2,828","8,187","59,067","4,992","4,279",155,"3,995","3,161",88,606,364,718,16,"97,636"
Virginia Beach,"53,931","95,099","9,524","5,193","849,697","2,190","22,851","6,829","7,577",211,"1,553",951,"1,601",0,"1,057,209"
Isle of Wight,"1,862","1,306","1,491","3,850","2,096","80,362",72,"5,717","4,580",111,707,441,868,51,"103,514"
Va Bch Waterfront,351,670,165,81,"13,895",37,"6,556",104,166,3,34,14,29,0,"22,106"
Newport News,"2,323","3,316","1,938","2,146","3,907","3,728",125,"491,948","94,533","1,972","10,706","6,289","34,667","1,102","658,700"
Hampton,"1,411","2,763","1,134","1,113","3,041","1,846",114,"63,359","257,102","1,591","2,155","1,348","9,548",440,"346,965"
Poquoson,318,509,194,274,658,383,15,"11,289","13,590","16,456",734,553,"6,970",154,"52,096"
Williamsburg,30,32,17,22,68,28,3,775,226,9,"17,917","3,677","3,317",27,"26,147"
James City,571,897,428,452,"1,183",583,22,"11,700","4,452",207,"53,901","116,101","18,675",567,"209,739"
York,503,803,372,453,"1,031",622,35,"39,457","18,786","1,916","15,103","6,711","63,525",402,"149,718"
Gloucester,75,133,63,62,148,74,2,"1,161",598,31,406,253,508,"35,115","38,629"
Total,"437,735","510,638","218,789","101,073","1,084,975","101,647","32,960","655,991","424,258","23,063","106,718","138,784","144,015","37,874","4,018,520"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Non Home-Based,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"110,720","19,736","19,204","5,641","34,162","1,333",346,"2,280","1,334",124,194,567,562,131,"196,333"
Norfolk,"19,589","197,217","8,667","1,819","57,470",838,605,"2,303","2,336",90,374,903,606,157,"292,973"
Portsmouth,"19,270","8,779","53,714","4,235","5,521",856,96,"1,082",744,30,143,357,260,62,"95,148"
Suffolk,"5,809","1,888","4,286","22,727","2,114","2,232",43,"1,326",893,40,103,379,263,74,"42,176"
Virginia Beach,"33,869","57,224","5,414","2,031","363,770","1,538","8,378","3,670","2,203",216,231,799,967,230,"480,542"
Isle of Wight,"1,423",903,909,"2,311","1,670","33,383",61,"2,651","1,754",67,102,446,389,97,"46,164"
Va Bch Waterfront,345,603,93,41,"8,368",56,"2,297",104,107,6,8,16,19,7,"12,070"
Newport News,"2,508","2,608","1,192","1,408","4,044","2,632",108,"175,878","37,424","1,796","2,276","6,003","16,088",620,"254,585"
Hampton,"1,423","2,481",786,939,"2,380","1,790",121,"37,216","111,256","1,940",528,"1,341","6,771",447,"169,419"
Poquoson,138,96,32,44,236,79,6,"1,780","1,950","2,866",51,125,"1,191",38,"8,633"
Williamsburg,225,424,162,114,264,109,9,"2,379",563,55,"14,345","11,377","4,739",101,"34,866"
James City,648,"1,015",404,420,912,477,18,"6,211","1,426",134,"11,390","65,159","7,327",389,"95,929"
York,621,682,288,282,"1,077",401,21,"16,273","6,882","1,214","4,715","7,279","22,655",200,"62,593"
Gloucester,150,226,90,99,229,141,6,805,285,37,111,293,484,"13,474","16,429"
Total,"196,738","293,883","95,240","42,112","482,216","45,863","12,114","253,958","169,156","8,615","34,571","95,045","62,321","16,028","1,807,860"
,,,,,,,,,,,,,,,H-2
