Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”
21:00,707,736,811,848,988,"1,008",850,21:00,724,791,878,930,"1,090","1,063",936
22:00,637,674,802,807,890,910,753,22:00,573,641,715,780,972,998,845
23:00,348,408,520,518,618,666,430,23:00,397,442,472,540,738,778,547
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,200,186,194,206,229,328,316,0:00,245,386,426,434,476,631,527
1:00,128,124,127,137,162,231,234,1:00,135,125,132,160,173,302,355
2:00,107,106,112,127,148,218,213,2:00,105,107,119,145,150,242,280
3:00,144,156,151,164,168,176,150,3:00,122,129,129,142,159,166,155
4:00,379,445,433,446,454,325,185,4:00,266,298,308,298,302,198,138
5:00,"1,363","1,618","1,656","1,606","1,542",700,370,5:00,854,957,999,973,959,434,241
6:00,"2,463","2,884","2,901","2,878","2,736",765,473,6:00,"1,633","1,884","1,886","1,892","1,783",638,381
7:00,"2,711","3,091","3,033","3,076","2,944",981,564,7:00,"1,718","1,962","2,013","1,978","1,907",880,483
8:00,"1,930","2,147","2,122","2,165","2,092","1,174",690,8:00,"1,374","1,595","1,602","1,610","1,575","1,024",563
9:00,"1,458","1,530","1,576","1,576","1,623","1,358",990,9:00,"1,119","1,287","1,298","1,345","1,370","1,111",745
10:00,"1,334","1,329","1,346","1,409","1,578","1,466","1,175",10:00,"1,124","1,184","1,204","1,254","1,360","1,210",944
11:00,"1,365","1,302","1,361","1,424","1,612","1,594","1,282",11:00,"1,171","1,214","1,244","1,292","1,453","1,371","1,048"
12:00,"1,415","1,358","1,388","1,460","1,695","1,666","1,401",12:00,"1,268","1,297","1,334","1,405","1,682","1,538","1,228"
13:00,"1,424","1,427","1,439","1,485","1,863","1,655","1,505",13:00,"1,356","1,355","1,406","1,503","1,816","1,585","1,335"
14:00,"1,693","1,724","1,738","1,791","2,172","1,631","1,499",14:00,"1,730","1,798","1,847","1,922","2,323","1,952","1,539"
15:00,"1,903","2,038","2,041","2,138","2,404","1,507","1,441",15:00,"2,670","2,900","2,948","3,015","3,184","1,798","1,446"
16:00,"2,213","2,420","2,383","2,446","2,511","1,509","1,368",16:00,"3,069","3,378","3,360","3,428","3,341","1,737","1,396"
17:00,"1,960","2,108","2,169","2,253","2,353","1,415","1,271",17:00,"2,459","2,786","2,848","2,905","2,685","1,668","1,352"
18:00,"1,378","1,532","1,559","1,664","1,908","1,273","1,146",18:00,"1,468","1,651","1,662","1,821","1,873","1,472","1,230"
19:00,914,"1,012",975,"1,089","1,348","1,042",936,19:00,936,997,994,"1,137","1,369","1,182","1,013"
20:00,709,739,731,813,904,837,792,20:00,735,792,847,927,"1,053","1,043",874
21:00,640,674,697,755,788,826,641,21:00,636,711,734,822,"1,012","1,037",733
22:00,573,594,622,669,724,736,559,22:00,484,534,536,624,978,972,611
23:00,308,336,349,390,493,518,341,23:00,326,353,358,440,701,778,425
"Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.",,,,,,,,,,
