Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”,Name: “Table 1 of 1 on page 9 of 24”
17:00,"3,047","3,034","3,029","3,056","2,910","2,668","2,733",17:00,"2,941","2,945","2,760","2,868","2,793","2,502","2,549"
18:00,"2,290","2,474","2,507","2,780","2,739","2,690","2,537",18:00,"2,725","2,625","2,711","2,782","2,678","2,315","2,525"
19:00,"1,639","1,737","1,777","2,084","2,587","2,521","2,265",19:00,"1,815","1,920","2,203","2,377","2,495","2,036","2,237"
20:00,"1,401","1,455","1,542","1,734","2,286","2,093","2,002",20:00,"1,406","1,491","1,622","1,765","1,923","1,822","1,877"
21:00,"1,192","1,283","1,450","1,525","2,126","1,993","1,587",21:00,"1,154","1,190","1,228","1,286","1,706","1,863","1,381"
22:00,"1,009","1,063","1,174","1,288","1,862","1,897","1,386",22:00,987,"1,042","1,171","1,184","1,500","1,644","1,162"
23:00,665,722,806,972,"1,464","1,461","1,083",23:00,675,845,"1,019",908,"1,139","1,406",927
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,461,388,398,441,510,775,712,0:00,414,359,378,426,470,699,691
1:00,282,207,207,248,285,502,519,1:00,246,203,215,247,284,507,529
2:00,198,168,187,209,247,451,489,2:00,214,163,177,191,271,525,581
3:00,217,196,238,219,255,285,282,3:00,224,194,190,200,232,300,316
4:00,543,560,574,579,580,358,279,4:00,456,454,440,457,466,356,252
5:00,"1,754","1,961","1,972","1,966","1,824",674,462,5:00,"1,412","1,523","1,534","1,509","1,470",637,412
6:00,"2,648","3,039","3,058","3,046","2,901","1,109",689,6:00,"2,250","2,554","2,546","2,594","2,455","1,104",691
7:00,"2,890","3,304","3,259","3,264","3,116","1,501",867,7:00,"2,575","2,899","2,927","2,824","2,722","1,579",986
8:00,"2,674","2,850","2,987","2,917","2,736","1,920","1,102",8:00,"2,471","2,674","2,650","2,747","2,674","2,008","1,309"
9:00,"2,167","2,341","2,437","2,458","2,429","2,156","1,464",9:00,"2,242","2,253","2,325","2,366","2,500","2,278","1,797"
10:00,"2,092","2,122","2,201","2,313","2,399","2,405","1,896",10:00,"2,095","2,050","2,125","2,266","2,531","2,468","2,255"
11:00,"2,170","2,169","2,253","2,325","2,632","2,566","2,176",11:00,"2,132","2,093","2,174","2,329","2,737","2,533","2,426"
12:00,"2,237","2,218","2,282","2,410","2,699","2,700","2,329",12:00,"2,219","2,200","2,332","2,467","2,628","2,650","2,421"
13:00,"2,247","2,253","2,293","2,420","2,730","2,719","2,440",13:00,"2,219","2,270","2,353","2,521","2,715","2,663","2,534"
14:00,"2,583","2,622","2,735","2,735","2,991","2,705","2,397",14:00,"2,536","2,582","2,753","2,808","2,942","2,576","2,517"
15:00,"2,965","3,094","3,047","3,154","3,035","2,687","2,411",15:00,"2,833","3,027","3,015","3,029","2,975","2,528","2,433"
16:00,"2,836","3,182","3,166","3,142","3,103","2,584","2,452",16:00,"2,854","3,039","3,060","3,094","2,930","2,458","2,398"
17:00,"2,688","2,830","2,974","3,041","2,984","2,609","2,365",17:00,"2,717","2,997","2,992","3,025","2,922","2,421","2,288"
18:00,"2,067","2,312","2,352","2,507","2,718","2,407","2,111",18:00,"2,129","2,475","2,511","2,716","2,685","2,231","2,010"
19:00,"1,492","1,603","1,577","1,759","2,321","2,010","1,855",19:00,"1,567","1,750","1,691","2,007","2,236","1,860","1,673"
20:00,"1,214","1,268","1,295","1,456","1,958","1,726","1,612",20:00,"1,251","1,347","1,359","1,490","1,664","1,573","1,421"
21:00,"1,031","1,104","1,134","1,262","1,685","1,647","1,253",21:00,"1,026","1,095","1,184","1,210","1,477","1,494","1,061"
22:00,839,897,930,"1,080","1,514","1,534","1,010",22:00,893,932,"1,014","1,067","1,320","1,368",873
23:00,545,592,590,772,"1,127","1,116",727,23:00,553,631,634,802,974,"1,003",628
"Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.",,,,,,,,,,
